PK_CLIENTE,NOME_CLIENTE,EMAIL_CLIENTE,TIPO_CLIENTE,CPFCNPJ_CLIENTE,TS_INCLUSAO,DATA_NASCIMENTO_CLEINTE,ENDERECO_CLIENTE,CEP_CLIENTE,UF_CLIENTE
139,Emanuella Gonçalves,vitor-gabriel71@example.net,PF,32986475191,2016-03-14T15:34:00.000Z,1989-03-13,"Praia de Mendes, 4
Vila Aeroporto Jaraguá
49100-138 Martins do Galho / AM",74770488,AM
140,Bruna Moura,qcostela@example.net,PF,07314695857,2022-05-11T11:56:00.000Z,1968-08-26,"Trecho Nogueira, 72
Conjunto Capitão Eduardo
05771549 Jesus / AL",84431718,AL
141,Carolina Martins,paulosantos@example.org,PF,35276180903,2022-03-17T11:41:00.000Z,1987-05-16,"Ladeira Davi Luiz Caldeira, 3
Eymard
82994229 Azevedo de Sales / RN",83513-322,RN
142,Matheus Silveira,clima@example.com,PF,32791456864,2011-07-09T15:49:00.000Z,1961-07-27,"Lagoa de Rezende, 76
Parque São Pedro
39049-807 Oliveira / RN",00942104,RN
143,Raul Aragão,yuri16@example.com,PF,39264851755,2021-03-09T11:38:00.000Z,1978-04-29,"Colônia de Gomes, 29
Cidade Jardim Taquaril
83856-951 Sales do Sul / AM",24423255,AM
144,Maria Julia Santos,rebecaduarte@example.net,PF,83762194564,2018-06-24T11:12:00.000Z,1956-10-07,"Vila Otávio Dias, 9
Vila Oeste
69451-123 Teixeira de da Mata / AL",28720-323,AL
145,Júlia Azevedo,samuel74@example.com,PF,51493062824,2022-10-09T14:30:00.000Z,1981-11-05,"Condomínio de Aragão
Conjunto Califórnia I
30181-466 Martins do Amparo / AL",45650110,AL
146,Pedro Lucas Cunha,jesusjulia@example.com,PF,93541762837,2011-03-15T11:30:00.000Z,2000-11-05,"Parque Pietro Melo
Jardim Guanabara
53062-512 Souza / BA",49077-828,BA
147,Yago Cardoso,anapeixoto@example.net,PF,83067294556,2019-02-22T14:08:00.000Z,1957-10-21,"Pátio de Santos, 12
Vila Pinho
19039110 Farias / BA",56861591,BA
148,Pedro Lucas Nogueira,silvapietro@example.org,PF,04859167201,2020-01-07T15:49:00.000Z,1962-01-19,"Estrada Maitê Farias, 2
Nova Esperança
79878820 Aragão / PR",35901884,PR
149,Fernando Ferreira,ana-carolina16@example.net,PF,48937265109,2022-03-06T12:48:00.000Z,2006-12-12,"Conjunto de Costa, 4
Granja De Freitas
18338464 Rocha de Peixoto / DF",03524308,DF
150,Ana Júlia Oliveira,kevin24@example.org,PF,50298463792,2020-01-15T11:02:00.000Z,1951-04-19,"Lagoa de Araújo, 41
Venda Nova
32097449 Silva / RN",51218-272,RN
151,Anthony Azevedo,leandro14@example.com,PF,34692715855,2016-07-27T13:55:00.000Z,1950-06-09,"Núcleo Farias, 9
Vila Inestan
06533561 Rodrigues / PA",46946-922,PA
152,Arthur Campos,brunolopes@example.net,PF,76390284187,2022-11-10T14:33:00.000Z,2008-04-12,"Trevo Joana Correia, 34
Vila Canto Do Sabiá
42914-646 Sales / DF",30984-165,DF
153,Nicole Nascimento,mirella96@example.org,PF,09146387269,2021-01-23T15:36:00.000Z,1984-05-10,"Morro de Moura, 65
Bonfim
54426-963 Dias / GO",24240-035,GO
154,Raul Correia,rcaldeira@example.org,PF,39506281424,2018-04-27T12:24:00.000Z,1970-11-24,"Estação de Carvalho, 3
Nossa Senhora Da Conceição
18948-276 Moura / GO",52431-466,GO
155,Renan Rezende,camposhelena@example.org,PF,35401628951,2020-01-21T10:28:00.000Z,1986-07-17,"Loteamento de da Luz, 5
Conjunto Jardim Filadélfia
77167107 das Neves Paulista / BA",71568-477,BA
156,Ana Sophia Lopes,davi-luiz11@example.org,PF,67143089575,2012-04-27T14:47:00.000Z,1998-05-25,"Loteamento de da Cruz, 77
Conjunto Minas Caixa
52712501 Lima Paulista / CE",67804691,CE
157,Noah Moura,sgomes@example.org,PF,34701689548,2012-07-05T12:44:00.000Z,1971-02-05,"Colônia Lima
Pirineus
26454-669 Rocha das Pedras / ES",74219224,ES
158,Stella Gomes,enrico51@example.org,PF,15024387635,2021-09-28T13:49:00.000Z,1960-04-05,"Largo de da Mata, 1
Aarão Reis
10714385 da Cruz de Goiás / RR",76308996,RR
159,Isabel Sales,alicesilva@example.net,PF,12874935646,2018-12-08T15:47:00.000Z,1986-08-29,"Pátio Isis Peixoto, 237
Aguas Claras
80555-794 Caldeira / TO",42431193,TO
160,Bernardo Jesus,ffernandes@example.net,PF,09251834660,2013-03-25T12:14:00.000Z,1948-07-13,"Chácara de Silveira, 88
Vila Paris
79532147 Nunes / DF",79260-808,DF
161,Luiz Felipe Teixeira,benicio21@example.net,PF,26510389703,2019-10-11T15:56:00.000Z,1989-11-27,"Lagoa Thales da Cruz, 74
Milionario
33626432 Lopes / RO",90437-202,RO
162,Helena da Rocha,ana63@example.net,PF,27950461306,2022-12-17T14:05:00.000Z,1947-08-03,"Parque de da Rosa, 70
São Gabriel
47057072 Moraes / PB",01390-164,PB
163,Kaique Correia,lucas57@example.net,PF,39670845157,2022-05-05T10:47:00.000Z,1956-05-17,"Trevo Elisa da Cunha, 8
Vila Santa Monica 1ª Seção
62001-179 Cardoso / DF",54098-978,DF
164,Fernanda Martins,mendessophia@example.com,PF,09628375474,2021-01-05T11:43:00.000Z,1993-06-15,"Vale de da Cunha, 87
Cinquentenário
42132147 Monteiro de Alves / BA",53004290,BA
165,Ana Laura Ferreira,isadora16@example.com,PF,56982173437,2020-08-06T12:02:00.000Z,1998-09-08,"Ladeira Moraes
Buritis
99746302 da Luz das Flores / MA",05195-585,MA
166,Mariane das Neves,luiz-fernandoaragao@example.net,PF,83421967555,2021-01-12T16:12:00.000Z,2000-04-19,"Passarela Nathan Dias, 214
Manacas
28781-432 Fogaça / MT",58025719,MT
167,Luigi Nogueira,luiz-miguelbarros@example.org,PF,58462079101,2018-10-04T13:38:00.000Z,1959-03-06,"Parque Araújo, 73
Vila Santa Monica 2ª Seção
14152611 Cavalcanti / CE",38518343,CE
168,Clara da Mota,yasmin13@example.net,PF,73142058680,2018-04-25T14:53:00.000Z,2002-04-08,"Vila de Rezende, 485
Nossa Senhora Da Aparecida
95882713 Moreira de Ribeiro / SC",42074-019,SC
169,Manuela Azevedo,helena76@example.net,PF,71365028968,2020-03-20T12:46:00.000Z,1965-12-10,"Loteamento da Costa, 6
Braúnas
56159-268 Fernandes da Praia / CE",13715347,CE
170,Joaquim Pereira,gabriellysilveira@example.net,PF,72934806529,2021-10-07T11:51:00.000Z,1947-10-24,"Passarela Laís Souza, 60
Concórdia
42927195 Teixeira / RS",52989-781,RS
171,Agatha Nascimento,raul79@example.net,PF,56701349820,2020-05-01T12:48:00.000Z,1993-02-09,"Vereda Monteiro, 99
Conjunto Taquaril
33867-209 Gonçalves do Galho / AM",74604708,AM
172,Bruna Rocha,manuela76@example.net,PF,01876523417,2017-01-06T14:30:00.000Z,2007-12-13,"Fazenda Luigi Silva, 1
Vila Santo Antônio Barroquinha
02467-025 Lima / BA",67759-235,BA
173,Pedro Miguel da Cunha,vnascimento@example.com,PF,86230795400,2014-02-16T11:22:00.000Z,2005-02-05,"Aeroporto Maria Alice Alves, 19
Barroca
93855518 Aragão Grande / AL",85194259,AL
174,Luna Farias,pintofernanda@example.com,PF,69750481267,2018-05-08T10:36:00.000Z,1987-09-06,"Loteamento Emanuelly Novaes
Horto
18902-665 Caldeira / SC",52749754,SC
175,Manuela Castro,joao-felipe70@example.net,PF,64510298749,2012-12-14T13:24:00.000Z,1956-12-08,"Esplanada Benício Peixoto, 859
Conjunto São Francisco De Assis
43845-956 Correia das Flores / DF",37583837,DF
176,Raquel Rocha,sarahcorreia@example.org,PF,45260938151,2018-03-23T10:08:00.000Z,1973-10-02,"Núcleo Lorena Lima, 79
São Francisco
67430649 Rocha de Nogueira / RO",59254-972,RO
177,Elisa da Rocha,davi-luiz72@example.com,PF,58740612317,2012-05-05T13:54:00.000Z,1984-09-24,"Trecho de Monteiro
Aarão Reis
51318-606 Farias Grande / PI",58338626,PI
178,Raquel Aragão,luiz-fernando10@example.com,PF,50678493200,2022-02-25T12:17:00.000Z,1952-12-22,"Via de Novaes, 25
Caiçara - Adelaide
51228378 Pinto / RJ",85486719,RJ
179,Alexandre Oliveira,monteiroyasmin@example.com,PF,09518623759,2012-09-14T12:50:00.000Z,1992-06-16,"Largo Carvalho, 1
Caetano Furquim
76675-502 Carvalho de Viana / MT",65076925,MT
180,Bianca Rezende,thalesalves@example.net,PF,81360497269,2016-07-22T12:11:00.000Z,1959-03-08,"Vale de Cavalcanti, 8
Vila Trinta E Um De Março
02072362 da Rocha / CE",31280368,CE
181,Maria Alice Rocha,rezendeeloah@example.com,PF,07231956416,2011-10-01T16:11:00.000Z,1964-08-19,"Viela Novaes, 96
Vila Pilar
42684-816 Monteiro / RS",87469775,RS
182,Bárbara Santos,benjaminmoreira@example.org,PF,49632510860,2018-10-15T15:24:00.000Z,1952-05-07,"Sítio de Sales, 90
Pongelupe
09139183 Pereira / RJ",23499-744,RJ
183,Gustavo Fernandes,gabrielapeixoto@example.org,PF,08267459111,2019-05-27T14:40:00.000Z,2003-01-18,"Alameda de Souza, 517
São Jorge 3ª Seção
05667856 Freitas da Prata / MA",94005-165,MA
184,Juliana Sales,jmoreira@example.org,PF,63197524837,2020-08-25T12:37:00.000Z,1982-05-14,"Avenida Elisa da Conceição, 69
Horto
93717-436 Barbosa das Pedras / AL",17350-278,AL
185,Nicole Ramos,csantos@example.org,PF,37160549848,2015-02-22T13:18:00.000Z,1986-09-07,"Recanto Vieira
Biquinhas
44037235 Caldeira / TO",58600-802,TO
186,Gabrielly Cardoso,carolinavieira@example.net,PF,03791658484,2014-05-13T12:12:00.000Z,2001-07-25,"Largo de Teixeira, 89
Vila Santa Monica 2ª Seção
31467624 Ferreira do Sul / DF",37016517,DF
187,Anthony Moreira,dsales@example.com,PF,43296758038,2016-10-13T12:44:00.000Z,2005-07-29,"Rua Cauê Monteiro, 744
Parque São José
66641-288 Aragão Alegre / CE",84050-003,CE
188,Thomas da Paz,da-rochabruno@example.org,PF,92546830198,2018-04-17T12:35:00.000Z,2000-06-15,"Aeroporto de Moraes, 89
Lorena
04389826 Rodrigues de da Paz / ES",79586-846,ES
189,Luiz Fernando Gomes,vcastro@example.net,PF,46815032906,2019-07-23T11:29:00.000Z,1987-09-15,"Núcleo Teixeira, 19
Vila Nova Cachoeirinha 1ª Seção
37674491 Fernandes / AP",38953276,AP
190,Sofia Costa,caio12@example.org,PF,16739280487,2022-08-01T11:18:00.000Z,1963-08-23,"Rodovia Julia Gonçalves, 71
São Francisco
14539-651 Rocha / RR",31419460,RR
191,Luiz Fernando Cavalcanti,ida-rocha@example.com,PF,27143089613,2016-07-27T10:47:00.000Z,1972-08-20,"Largo de da Cruz, 704
Nova Esperança
38172377 Novaes / AM",39631-116,AM
192,Pietra da Rocha,antonio15@example.net,PF,06917854220,2017-12-20T14:10:00.000Z,1957-08-04,"Viela de Fogaça, 7
Lajedo
59813-366 Cardoso / SC",34646006,SC
193,Yuri Freitas,nunesemanuel@example.org,PF,04973815675,2017-02-27T11:46:00.000Z,1994-08-31,"Pátio da Rocha, 13
Boa Esperança
33758559 Pinto / MG",97652-033,MG
194,Alana Novaes,pietrarodrigues@example.com,PF,89032174541,2020-03-17T14:32:00.000Z,1955-02-11,"Passarela Maria Eduarda Lopes, 42
Vila São Dimas
61698934 da Mata / RJ",55859-672,RJ
195,Samuel Cardoso,thomasmoreira@example.org,PF,05126493752,2015-05-27T15:08:00.000Z,1952-05-10,"Campo Esther Cardoso, 229
Belmonte
90285112 Monteiro / BA",87438-043,BA
196,Samuel da Paz,usales@example.com,PF,92418560333,2020-06-04T15:57:00.000Z,1953-06-02,"Residencial Mendes, 513
Conjunto Floramar
40014456 Cunha do Galho / RS",96754971,RS
197,Ana Luiza Pereira,pintoemanuel@example.com,PF,26943180703,2020-04-11T14:34:00.000Z,1958-06-29,"Lago Yasmin Ramos, 18
Mangueiras
46879-046 da Mota / SC",34830619,SC
198,Emanuelly das Neves,ferreiramaria-cecilia@example.org,PF,61709283440,2011-08-14T15:18:00.000Z,1958-11-24,"Distrito da Conceição, 83
Mangabeiras
25402417 Pereira / SC",78051649,SC
199,Isadora Campos,mmonteiro@example.org,PF,06124895315,2019-02-28T10:25:00.000Z,2002-01-02,"Setor Cunha, 36
São Bento
05433470 Teixeira do Campo / RN",32960276,RN
200,Ana Luiza Silva,ulopes@example.net,PF,79120386559,2020-07-21T16:44:00.000Z,1948-12-27,"Passarela de Peixoto, 85
Araguaia
82449-020 Vieira / GO",69463-357,GO
201,Luana Martins,beniciofogaca@example.org,PF,38650941206,2022-04-05T13:22:00.000Z,1986-11-08,"Favela Lima, 4
Tres Marias
26236980 Aragão / AL",44496311,AL
202,Augusto Jesus,esthersouza@example.net,PF,58142706911,2016-12-11T11:17:00.000Z,1974-09-19,"Quadra de Duarte, 918
Bairro Das Indústrias Ii
06967305 Pinto / RO",79191496,RO
203,Fernando Gomes,maria-vitoriaaraujo@example.net,PF,68352017977,2022-04-12T16:29:00.000Z,1969-03-13,"Avenida Marcelo Dias, 36
Lajedo
80566031 da Cruz do Amparo / TO",81785702,TO
204,Emanuella da Luz,sda-rocha@example.com,PF,48063195701,2019-03-06T14:39:00.000Z,1952-01-24,"Residencial Noah Jesus, 811
Novo Das Industrias
32510-435 da Conceição / RO",86040196,RO
205,Juliana Campos,jsouza@example.net,PF,91870356268,2019-06-16T11:19:00.000Z,1981-09-16,"Residencial Teixeira, 85
Vila Nova Cachoeirinha 2ª Seção
40443243 da Mota / RS",76108221,RS
206,Valentina da Mata,jvieira@example.net,PF,73802164571,2018-09-12T10:47:00.000Z,1999-08-11,"Viela de Ribeiro, 94
Madri
19171-255 Oliveira / RR",62484-908,RR
207,Paulo Silveira,brunada-mota@example.com,PF,03472985674,2017-07-23T14:51:00.000Z,1988-09-18,"Avenida Isaac da Luz
Novo Glória
50125-560 Campos Verde / RJ",95271-987,RJ
208,Francisco Porto,jrocha@example.com,PF,73620845107,2018-11-04T11:42:00.000Z,1997-08-18,"Estrada Costela, 860
Vila Independencia 3ª Seção
45710-054 Dias das Flores / ES",91490645,ES
209,Alexia da Mata,vitor-gabriel99@example.net,PF,86529013415,2016-10-22T12:39:00.000Z,1955-12-01,"Aeroporto da Mata, 50
Flavio Marques Lisboa
18579199 Araújo do Norte / MT",16769549,MT
210,Isabella Azevedo,luanafogaca@example.org,PF,80759463247,2012-04-18T11:04:00.000Z,1954-12-29,"Sítio Diogo Nunes, 88
Coqueiros
72170-769 Barros / SP",91192-729,SP
211,Bernardo Costa,pintovinicius@example.com,PF,67108953439,2022-08-16T14:07:00.000Z,1975-09-01,"Alameda de Cunha, 21
Santa Sofia
39011095 Moreira / AM",25390-887,AM
212,Eduardo Costela,barbara28@example.org,PF,52091846767,2022-06-04T15:33:00.000Z,1960-11-23,"Largo de Aragão, 34
Vila Ipiranga
30747-015 Duarte / MG",61241428,MG
213,Gabriel Ramos,anogueira@example.org,PF,19627348546,2020-02-22T12:35:00.000Z,1969-09-28,"Condomínio Gomes, 18
Horto
45719-920 Novaes / ES",43416641,ES
214,Stella Alves,muriloaragao@example.org,PF,84216570380,2013-09-05T14:05:00.000Z,1999-11-10,"Alameda Rodrigues, 75
Mineirão
72990-363 Freitas / PE",94763631,PE
215,Alice Barros,lopesraul@example.com,PF,20356894738,2021-03-24T15:14:00.000Z,1954-11-07,"Loteamento de Costa, 29
Vila Ecológica
79012-764 Peixoto / MA",11704226,MA
216,Heitor Dias,nogueiraheitor@example.org,PF,51069378259,2011-12-06T11:04:00.000Z,1960-01-25,"Rodovia de Viana, 613
Vila Petropolis
50386191 Lima / AL",09866-153,AL
217,Marcela Sales,brenocampos@example.org,PF,84716390500,2013-11-28T10:16:00.000Z,1996-05-17,"Via de Silva
Luxemburgo
59112-437 da Rocha / PR",93346488,PR
218,Raquel Duarte,isabella79@example.net,PF,73052981404,2015-07-20T16:26:00.000Z,1974-01-08,"Fazenda de das Neves, 783
Acaiaca
73888658 Cardoso de Azevedo / SE",31387-241,SE
219,Isis Viana,melobruno@example.com,PF,91563472864,2019-06-02T10:19:00.000Z,1948-04-19,"Favela de Aragão, 9
Minas Caixa
95675467 Pinto / PI",33225-757,PI
220,Luiz Fernando Jesus,pirespietro@example.com,PF,35081674290,2015-05-19T12:42:00.000Z,1954-09-16,"Travessa Pietro Ferreira
Taquaril
26092-107 Dias / PE",75568559,PE
221,Sophie Dias,freitaspedro-henrique@example.net,PF,03527819630,2018-07-01T11:07:00.000Z,1991-12-20,"Pátio Yuri Barbosa, 59
Minaslandia
23856928 Moura das Pedras / PE",45906-049,PE
222,Ana Vitória Peixoto,franciscocorreia@example.net,PF,62479315819,2016-06-21T14:09:00.000Z,1957-02-01,"Via Stella Duarte, 5
Jonas Veiga
84866-510 Monteiro / SE",13469706,SE
223,Antônio Moura,ramosmaria@example.com,PF,76902581401,2020-06-02T13:56:00.000Z,1982-11-26,"Trevo Campos, 55
Vitoria
37665827 Cardoso / RS",35541-681,RS
224,Clara Oliveira,luiz-fernandoda-cruz@example.org,PF,13420759606,2021-11-06T16:54:00.000Z,1983-06-14,"Campo Novaes, 9
Conjunto Jatoba
79326649 Pinto do Amparo / AP",41177479,AP
225,Pietro Vieira,yasminfernandes@example.org,PF,06158742902,2016-12-13T12:40:00.000Z,1975-10-24,"Vereda de Ramos, 44
Vila Pilar
89512752 Ramos de Minas / RS",72164708,RS
226,Rafael Santos,gbarbosa@example.com,PF,94081256306,2021-10-10T15:56:00.000Z,1972-09-15,"Residencial Costa, 22
Baleia
60363183 Teixeira do Galho / RN",96211969,RN
227,Lucas Lima,castroana@example.net,PF,56071482380,2017-07-21T10:30:00.000Z,1997-02-16,"Alameda da Rocha, 22
Confisco
10091-446 Lopes de da Conceição / MS",98338229,MS
228,Maria Fernanda Gonçalves,gustavogomes@example.net,PF,39285746047,2015-07-02T16:20:00.000Z,1945-10-20,"Parque de Araújo, 771
Camponesa 1ª Seção
56311872 Vieira / PA",48095-695,PA
229,João Miguel Moraes,fernanda67@example.org,PF,56817390230,2019-11-25T14:33:00.000Z,1963-08-08,"Sítio Bianca Cavalcanti
Vila Ouro Minas
04933-314 Cardoso / AL",46163702,AL
230,Eloah Jesus,luiz-gustavoduarte@example.org,PF,85706924120,2020-11-02T14:32:00.000Z,1976-01-21,"Parque João Vitor Alves, 72
Horto Florestal
84926-819 Moura / PR",31782-982,PR
231,Igor Monteiro,benjamin77@example.org,PF,23657180435,2017-06-02T11:24:00.000Z,2005-02-07,"Campo de Novaes, 9
Tiradentes
28744887 Aragão / AC",95028979,AC
232,Danilo Silveira,pedro-miguel85@example.com,PF,45791308205,2022-05-03T14:07:00.000Z,1986-07-16,"Estrada de Costela, 88
Jardim Vitoria
82034-517 Pereira / SP",31821463,SP
233,Clara Souza,martinsvitoria@example.org,PF,92801543624,2016-08-04T12:38:00.000Z,1957-08-21,"Largo Martins, 98
Conjunto Santa Maria
84267-124 Moura / PB",30760-438,PB
234,Lívia Carvalho,samueldias@example.org,PF,52106498306,2020-05-01T10:37:00.000Z,1969-06-27,"Viaduto Enrico Cardoso, 985
Liberdade
96370-110 Monteiro de Costa / RO",11233-807,RO
235,Sarah Costa,joaoramos@example.org,PF,39851607240,2013-06-02T15:27:00.000Z,1973-12-16,"Distrito Vitória da Mata, 54
Vila Da Amizade
84322-007 Sales / RO",15563143,RO
236,Ian Vieira,dcardoso@example.net,PF,40628715994,2016-06-03T15:22:00.000Z,2002-11-14,"Praia de Costa, 7
Jardinópolis
99876-792 Ribeiro / AL",95216172,AL
237,Agatha da Luz,souzalucas-gabriel@example.net,PF,96217548011,2019-11-27T15:20:00.000Z,1962-04-16,"Feira de da Luz
Dom Cabral
40963-459 da Mata de Farias / PE",18986045,PE
238,Breno Aragão,pnovaes@example.net,PF,65237840108,2021-11-15T11:08:00.000Z,1953-12-27,"Trevo Eloah Dias, 20
Horto
26231733 da Mata do Sul / MG",90172997,MG
239,Augusto da Mata,bruna84@example.net,PF,56109487201,2022-02-20T11:46:00.000Z,1977-06-02,"Praia Nogueira
Vila Santa Monica 2ª Seção
84942-202 Gonçalves / AL",96620-261,AL
240,Lavínia Melo,hmendes@example.net,PF,20716894530,2020-09-22T13:23:00.000Z,1995-05-18,"Estrada de Campos, 44
Castanheira
41769958 Aragão / PE",41460-861,PE
241,Joaquim Farias,henriquelopes@example.net,PF,69521847085,2020-10-15T14:28:00.000Z,1945-05-20,"Fazenda Lucas Mendes, 612
Conjunto Providencia
93633-706 Mendes / RR",51409047,RR
242,Rebeca Ramos,carlos-eduardomoura@example.com,PF,86103974593,2018-11-19T14:20:00.000Z,2006-03-05,"Vale de Fogaça
Boa União 1ª Seção
44201631 Nogueira / SE",00643-191,SE
243,Isabella Teixeira,eduardo76@example.com,PF,65037984238,2021-05-01T15:04:00.000Z,1958-07-08,"Condomínio Maria Luiza das Neves
Novo Das Industrias
48576950 Cardoso / RN",94682-766,RN
244,Noah Ferreira,ferreiramelissa@example.com,PF,59723480123,2019-03-02T13:14:00.000Z,2003-10-13,"Estrada Rocha, 16
Vila Santa Rosa
72383779 Costela das Pedras / SP",80854885,SP
245,Igor Pereira,luiz-felipe17@example.org,PF,15023796434,2018-04-02T15:17:00.000Z,1970-10-18,"Parque João Lucas Novaes
Boa União 2ª Seção
59625-368 da Paz do Campo / TO",50766687,TO
246,Ana Júlia Costela,rmartins@example.org,PF,83209156786,2013-01-09T15:38:00.000Z,2000-07-27,"Esplanada Barros, 23
Betânia
57281-793 Nunes das Flores / BA",12376-604,BA
247,Ian Oliveira,hda-luz@example.net,PF,47692153809,2015-09-20T14:56:00.000Z,2008-05-17,"Área de Silva, 13
Vila Nova Gameleira 1ª Seção
81999-508 das Neves / ES",54039-841,ES
248,Sarah Farias,joao-lucas65@example.org,PF,45192083788,2020-02-25T12:29:00.000Z,1973-12-31,"Avenida Arthur Cunha, 22
Acaba Mundo
66805988 da Conceição do Amparo / AL",69426707,AL
249,Catarina Carvalho,silveiraisadora@example.com,PF,25863917482,2016-11-07T12:54:00.000Z,2000-10-06,"Largo Carlos Eduardo Santos, 88
Comiteco
26159305 Cavalcanti / PE",85086-459,PE
250,Ana Julia Castro,da-cruzryan@example.net,PF,16945023842,2016-12-12T13:38:00.000Z,1995-02-17,"Fazenda Murilo da Luz, 9
Vila Madre Gertrudes 1ª Seção
98066-132 Cardoso Grande / ES",58747-470,ES
251,Antônio Carvalho,qfogaca@example.net,PF,91587634228,2017-09-01T16:05:00.000Z,1966-01-29,"Praia Lívia da Mata
Lajedo
45654478 Mendes de Peixoto / AM",04339822,AM
252,Diogo Rodrigues,alicia95@example.com,PF,74503682180,2022-05-02T11:08:00.000Z,1957-09-10,"Distrito Agatha Jesus, 42
Confisco
69880147 Gomes de Goiás / CE",05544105,CE
253,Enzo Gabriel Azevedo,da-rosafernando@example.org,PF,48263019524,2017-12-16T15:31:00.000Z,1943-08-28,"Praça de Melo, 65
Vila Madre Gertrudes 1ª Seção
89833622 Azevedo do Norte / SP",47306-670,SP
254,Yago da Rosa,upeixoto@example.org,PF,21850964351,2022-10-03T14:18:00.000Z,1948-09-04,"Recanto Duarte, 63
Venda Nova
14987-111 Farias da Mata / PE",47637976,PE
255,Alexandre da Conceição,giovanna94@example.org,PF,42916870369,2019-02-14T14:54:00.000Z,1998-01-16,"Avenida de Alves, 9
Alípio De Melo
29052019 Costa da Prata / SE",88530047,SE
256,Bruna Caldeira,pereirafernanda@example.com,PF,21348759097,2021-10-07T12:28:00.000Z,1950-01-11,"Trecho da Costa, 54
Estrela Do Oriente
95421-608 Dias de Caldeira / AL",19978-597,AL
257,Vinicius Lopes,rebecabarbosa@example.net,PF,59347260800,2011-02-05T14:09:00.000Z,1992-04-26,"Favela Vitor Gabriel Monteiro, 65
Vila São Gabriel Jacui
00069-868 Duarte / ES",31907-746,ES
258,Luiz Miguel Oliveira,wpereira@example.org,PF,04869732122,2019-05-13T14:02:00.000Z,1966-04-05,"Travessa Luiz Felipe Campos, 51
Santa Isabel
25459493 Nunes / BA",10191127,BA
259,Mariana Ferreira,costelaamanda@example.org,PF,94876310203,2020-07-18T14:16:00.000Z,1990-05-31,"Setor da Paz, 43
Vila São Francisco
79399381 Peixoto de Minas / MS",60221067,MS
260,Mirella Peixoto,isis23@example.org,PF,67593021416,2021-04-06T13:56:00.000Z,1953-09-22,"Travessa Gabrielly Martins, 9
Frei Leopoldo
77730834 das Neves Alegre / MG",32889691,MG
261,Alice Ramos,cunhaandre@example.org,PF,87532019659,2012-01-23T12:41:00.000Z,1992-07-09,"Sítio Bianca Silveira, 76
São Bento
69531-372 das Neves / ES",83610-667,ES
262,Isaac Pinto,larissada-mata@example.org,PF,10479826501,2022-11-07T13:14:00.000Z,2003-07-31,"Estação de Lima, 59
Ademar Maldonado
37270-687 Freitas / MT",74890213,MT
263,Ana da Mota,pedro-henriquesilva@example.net,PF,24760389113,2013-03-19T10:55:00.000Z,1945-04-30,"Trecho Daniela Silva, 728
Conjunto Providencia
55988-559 Martins Grande / RN",90607938,RN
264,Ana Júlia Nogueira,agatha39@example.com,PF,07496382140,2022-01-09T14:10:00.000Z,1989-09-15,"Via Silveira, 15
João Pinheiro
51880-491 Araújo de Viana / PI",35780004,PI
265,Vitor Gabriel Oliveira,osilveira@example.net,PF,40317259814,2016-12-01T13:40:00.000Z,1969-07-19,"Avenida de Caldeira, 23
Madre Gertrudes
27485013 Pinto de Rezende / RN",06179-156,RN
266,Mariana Cunha,joaquimmonteiro@example.com,PF,31625987021,2018-06-22T12:09:00.000Z,2003-11-13,"Morro de Rezende
Sion
50422940 Freitas / AL",94191-668,AL
267,Cecília Moura,mariana19@example.org,PF,90243615833,2020-04-07T10:54:00.000Z,2005-09-09,"Condomínio de Pires, 98
Suzana
20099-665 Pires da Praia / RJ",56335095,RJ
268,Ryan Santos,julianafarias@example.com,PF,86139754291,2018-02-19T13:05:00.000Z,1989-03-26,"Estação de Oliveira
Gutierrez
96932657 da Cunha / PR",15309-406,PR
269,Luiz Miguel Moreira,martinsdiego@example.net,PF,08693512498,2015-04-05T13:00:00.000Z,1987-02-21,"Vila de Porto, 789
Diamante
30448675 Nascimento do Campo / PA",47309-468,PA
270,Kaique Pereira,lopesvalentina@example.com,PF,80631952489,2017-04-07T12:02:00.000Z,1977-08-31,"Via de Ribeiro, 41
Vila Rica
53878542 Jesus / PI",46177-965,PI
271,Heloísa Silva,nuneslarissa@example.com,PF,40956783210,2022-08-19T14:31:00.000Z,1972-10-10,"Quadra Luiz Henrique Monteiro, 37
Funcionários
20946-820 Novaes da Prata / AC",55665437,AC
272,Pedro Jesus,joao-guilherme90@example.org,PF,42073916570,2013-08-02T13:18:00.000Z,1951-01-10,"Conjunto Mirella Moraes, 38
Flamengo
36049775 Rocha do Amparo / PI",49140180,PI
273,Caio Campos,emartins@example.net,PF,57438201988,2022-07-22T11:28:00.000Z,1946-08-25,"Vale Isis da Rocha, 58
Custodinha
55976-288 Viana / PA",19349-631,PA
274,Ana Júlia das Neves,zviana@example.org,PF,04632597180,2014-08-03T11:16:00.000Z,1969-07-17,"Morro Almeida, 67
Acaba Mundo
04676872 Alves / RN",53845-859,RN
275,Ana Luiza Silva,caioramos@example.com,PF,37584901204,2015-02-27T14:14:00.000Z,1966-06-30,"Via de Martins, 281
Serra Do Curral
94974112 Melo / CE",84638147,CE
276,Milena Azevedo,joao-felipe28@example.net,PF,39601527877,2016-11-28T12:47:00.000Z,1979-05-30,"Área da Mata
Etelvina Carneiro
04876081 Farias da Serra / RN",11750526,RN
